号码,出现次数,出现率(%),理论偏差,偏差率(%)
27,458,28.00,+49.0,+11.98
12,454,27.75,+45.0,+11.00
53,444,27.14,+35.0,+8.56
63,442,27.02,+33.0,+8.07
02,441,26.96,+32.0,+7.82
71,437,26.71,+28.0,+6.85
09,433,26.47,+24.0,+5.87
07,430,26.28,+21.0,+5.13
05,429,26.22,+20.0,+4.89
54,428,26.16,+19.0,+4.65
56,428,26.16,+19.0,+4.65
34,425,25.98,+16.0,+3.91
59,425,25.98,+16.0,+3.91
15,424,25.92,+15.0,+3.67
64,424,25.92,+15.0,+3.67
73,423,25.86,+14.0,+3.42
44,422,25.79,+13.0,+3.18
52,422,25.79,+13.0,+3.18
16,420,25.67,+11.0,+2.69
21,420,25.67,+11.0,+2.69
50,420,25.67,+11.0,+2.69
61,419,25.61,+10.0,+2.44
77,419,25.61,+10.0,+2.44
51,418,25.55,+9.0,+2.20
69,417,25.49,+8.0,+1.96
32,416,25.43,+7.0,+1.71
35,416,25.43,+7.0,+1.71
57,416,25.43,+7.0,+1.71
39,415,25.37,+6.0,+1.47
13,414,25.31,+5.0,+1.22
11,413,25.24,+4.0,+0.98
14,413,25.24,+4.0,+0.98
58,413,25.24,+4.0,+0.98
41,412,25.18,+3.0,+0.73
23,411,25.12,+2.0,+0.49
08,410,25.06,+1.0,+0.24
36,410,25.06,+1.0,+0.24
03,409,25.00,+0.0,+0.00
28,409,25.00,+0.0,+0.00
49,409,25.00,+0.0,+0.00
01,408,24.94,-1.0,-0.24
67,408,24.94,-1.0,-0.24
70,408,24.94,-1.0,-0.24
48,407,24.88,-2.0,-0.49
78,407,24.88,-2.0,-0.49
10,406,24.82,-3.0,-0.73
06,405,24.76,-4.0,-0.98
79,405,24.76,-4.0,-0.98
30,404,24.69,-5.0,-1.22
43,404,24.69,-5.0,-1.22
62,404,24.69,-5.0,-1.22
80,404,24.69,-5.0,-1.22
18,402,24.57,-7.0,-1.71
19,402,24.57,-7.0,-1.71
74,402,24.57,-7.0,-1.71
75,402,24.57,-7.0,-1.71
46,401,24.51,-8.0,-1.96
65,401,24.51,-8.0,-1.96
66,401,24.51,-8.0,-1.96
37,400,24.45,-9.0,-2.20
40,400,24.45,-9.0,-2.20
45,400,24.45,-9.0,-2.20
24,397,24.27,-12.0,-2.93
42,396,24.21,-13.0,-3.18
72,396,24.21,-13.0,-3.18
47,395,24.14,-14.0,-3.42
68,395,24.14,-14.0,-3.42
04,394,24.08,-15.0,-3.67
26,393,24.02,-16.0,-3.91
29,391,23.90,-18.0,-4.40
60,391,23.90,-18.0,-4.40
25,389,23.78,-20.0,-4.89
17,386,23.59,-23.0,-5.62
20,384,23.47,-25.0,-6.11
33,382,23.35,-27.0,-6.60
22,377,23.04,-32.0,-7.82
76,375,22.92,-34.0,-8.31
55,368,22.49,-41.0,-10.02
38,364,22.25,-45.0,-11.00
31,358,21.88,-51.0,-12.47
